protein1 protein2 neighborhood fusion cooccurence homology coexpression coexpression_transferred experimental knowledge knowledge_transferred textmining textmining_transferred combined_score
GENE0038 GENE0039 500 200 300 400 600 100 700 800 100 900 100 650
GENE0039 GENE0040 500 200 300 400 600 100 700 800 100 900 100 650
GENE0040 GENE0041 500 200 300 400 600 100 700 800 100 900 100 650
GENE0041 GENE0042 500 200 300 400 600 100 700 800 100 900 100 650
GENE0042 GENE0043 500 200 300 400 600 100 700 800 100 900 100 650
GENE0043 GENE0044 500 200 300 400 600 100 700 800 100 900 100 650
GENE0044 GENE0045 500 200 300 400 600 100 700 800 100 900 100 650
GENE0045 GENE0046 500 200 300 400 600 100 700 800 100 900 100 650
GENE0046 GENE0047 500 200 300 400 600 100 700 800 100 900 100 650
GENE0047 GENE0048 500 200 300 400 600 100 700 800 100 900 100 650
GENE0048 GENE0049 500 200 300 400 600 100 700 800 100 900 100 650
GENE0049 GENE0000 500 200 300 400 600 100 700 800 100 900 100 650
GENE0000 GENE0001 500 200 300 400 600 100 700 800 100 900 100 650
GENE0001 GENE0002 500 200 300 400 600 100 700 800 100 900 100 650
GENE0002 GENE0003 500 200 300 400 600 100 700 800 100 900 100 650
GENE0003 GENE0004 500 200 300 400 600 100 700 800 100 900 100 650
GENE0004 GENE0005 500 200 300 400 600 100 700 800 100 900 100 650
GENE0005 GENE0006 500 200 300 400 600 100 700 800 100 900 100 650
GENE0006 GENE0007 500 200 300 400 600 100 700 800 100 900 100 650
GENE0007 GENE0008 500 200 300 400 600 100 700 800 100 900 100 650
GENE0008 GENE0009 500 200 300 400 600 100 700 800 100 900 100 650
GENE0009 GENE0010 500 200 300 400 600 100 700 800 100 900 100 650
GENE0010 GENE0011 500 200 300 400 600 100 700 800 100 900 100 650
GENE0011 GENE0012 500 200 300 400 600 100 700 800 100 900 100 650
GENE0012 GENE0013 500 200 300 400 600 100 700 800 100 900 100 650
GENE0013 GENE0014 500 200 300 400 600 100 700 800 100 900 100 650
GENE0014 GENE0015 500 200 300 400 600 100 700 800 100 900 100 650
GENE0015 GENE0016 500 200 300 400 600 100 700 800 100 900 100 650
GENE0016 GENE0017 500 200 300 400 600 100 700 800 100 900 100 650
GENE0017 GENE0018 500 200 300 400 600 100 700 800 100 900 100 650
GENE0018 GENE0019 500 200 300 400 600 100 700 800 100 900 100 650
GENE0019 GENE0020 500 200 300 400 600 100 700 800 100 900 100 650
GENE0020 GENE0021 500 200 300 400 600 100 700 800 100 900 100 650
GENE0021 GENE0022 500 200 300 400 600 100 700 800 100 900 100 650
GENE0022 GENE0023 500 200 300 400 600 100 700 800 100 900 100 650
GENE0023 GENE0024 500 200 300 400 600 100 700 800 100 900 100 650
GENE0024 GENE0025 500 200 300 400 600 100 700 800 100 900 100 650
GENE0025 GENE0026 500 200 300 400 600 100 700 800 100 900 100 650
GENE0026 GENE0027 500 200 300 400 600 100 700 800 100 900 100 650
GENE0027 GENE0028 500 200 300 400 600 100 700 800 100 900 100 650
GENE0028 GENE0029 500 200 300 400 600 100 700 800 100 900 100 650
GENE0029 GENE0030 500 200 300 400 600 100 700 800 100 900 100 650
GENE0030 GENE0031 500 200 300 400 600 100 700 800 100 900 100 650
GENE0031 GENE0032 500 200 300 400 600 100 700 800 100 900 100 650
GENE0032 GENE0033 500 200 300 400 600 100 700 800 100 900 100 650
GENE0033 GENE0034 500 200 300 400 600 100 700 800 100 900 100 650
GENE0034 GENE0035 500 200 300 400 600 100 700 800 100 900 100 650
GENE0035 GENE0036 500 200 300 400 600 100 700 800 100 900 100 650
GENE0036 GENE0037 500 200 300 400 600 100 700 800 100 900 100 650
GENE0037 GENE0038 500 200 300 400 600 100 700 800 100 900 100 650
GENE0038 GENE0039 500 200 300 400 600 100 700 800 100 900 100 650
GENE0039 GENE0040 500 200 300 400 600 100 700 800 100 900 100 650
GENE0040 GENE0041 500 200 300 400 600 100 700 800 100 900 100 650
GENE0041 GENE0042 500 200 300 400 600 100 700 800 100 900 100 650
GENE0042 GENE0043 500 200 300 400 600 100 700 800 100 900 100 650
GENE0043 GENE0044 500 200 300 400 600 100 700 800 100 900 100 650
GENE0044 GENE0045 500 200 300 400 600 100 700 800 100 900 100 650
GENE0045 GENE0046 500 200 300 400 600 100 700 800 100 900 100 650
GENE0046 GENE0047 500 200 300 400 600 100 700 800 100 900 100 650
GENE0047 GENE0048 500 200 300 400 600 100 700 800 100 900 100 650
GENE0048 GENE0049 500 200 300 400 600 100 700 800 100 900 100 650
GENE0049 GENE0000 500 200 300 400 600 100 700 800 100 900 100 650
